language,id,text,file,node,lineNumber,lock,comment
en-US,line:0a5f816,"Laudry fae: I have to get back to my own again. Farewell, deliverer!",Assets/Yarn/cutscenes.yarn,endingRebel,74,6e2c9169,
en-US,line:0564b15,Laudry fae: Mayhap our flows will cross again. *giggle*,Assets/Yarn/cutscenes.yarn,endingRebel,75,6a1ef3bd,
en-US,line:01e7048,"Three-and-one: That which should, is.",Assets/Yarn/cutscenes.yarn,endingRebel,76,129fcac2,
en-US,line:0221bb0,"Mage: What have you done, Apprentice?!",Assets/Yarn/cutscenes.yarn,endingRebel,77,c1a64641,
en-US,line:0804761,Mage: The Guild will have you exiled for this!,Assets/Yarn/cutscenes.yarn,endingRebel,78,38e5b00d,
en-US,line:030e6e8,Three-and-one: Earth danced in a full circle around the sun.,Assets/Yarn/cutscenes.yarn,epilogue,84,a13026fd,
en-US,line:0a27666,Three-and-one: Enough time for humans to notice the change.,Assets/Yarn/cutscenes.yarn,epilogue,85,6face331,
en-US,line:0833da9,"Three-and-one: Other sentient beings, once thought extinct, being spotted anew.",Assets/Yarn/cutscenes.yarn,epilogue,86,c7530602,
en-US,line:0654364,"Three-and-one: First, one by one, then slowly a pair here, a trio there.",Assets/Yarn/cutscenes.yarn,epilogue,87,2fa63dab,
en-US,line:0cc93e8,"Three-and-one: Dozens and scores, taking their rightful place once again.",Assets/Yarn/cutscenes.yarn,epilogue,88,fbec2b82,
en-US,line:0e778c3,Three-and-one: And the humans turned to their mages: help us!,Assets/Yarn/cutscenes.yarn,epilogue,89,b9196fdb,
en-US,line:0184568,Three-and-one: For why would one share the land that they had believed for decades was theirs to keep?,Assets/Yarn/cutscenes.yarn,epilogue,90,cb6c5481,
en-US,line:03995f1,Three-and-one: For who but the oldest elders remembered the terrible cost asked in exchanged of a fruit born in blood?,Assets/Yarn/cutscenes.yarn,epilogue,91,d3aaa903,
en-US,line:0f80973,"Three-and-one: But the guilds, caught in their own inner torments, remained unmoved by those cries.",Assets/Yarn/cutscenes.yarn,epilogue,92,0b805095,
en-US,line:0344f9e,"Three-and-one: Several died, and we started gathering the threads of a war opposing humans to all other beings.",Assets/Yarn/cutscenes.yarn,epilogue,93,be0d864c,
en-US,line:0885f93,Three-and-one: Until the song spread.,Assets/Yarn/cutscenes.yarn,epilogue,94,ed5e1637,
en-US,line:0dcbc9c,Three-and-one: Leaflets left on doorsteps in the dark of the night.,Assets/Yarn/cutscenes.yarn,epilogue,95,bb51a358,
en-US,line:0990d03,Three-and-one: Dreams haunted by a humming messenger.,Assets/Yarn/cutscenes.yarn,epilogue,96,a0dbda97,
en-US,line:0d8e8cf,"Three-and-one: Word of mouth, from fae mouth to demon's ear to human's mouth to troll's heart.",Assets/Yarn/cutscenes.yarn,epilogue,97,640aede0,
en-US,line:087baa5,"Three-and-one: The song speaks of the guilds, the tale of an elite, drunk on power, who still craved for more.",Assets/Yarn/cutscenes.yarn,epilogue,98,09060f35,
en-US,line:03810c5,"Three-and-one: The song speaks of the book-prisons, crafted both to erase difference and farm magic.",Assets/Yarn/cutscenes.yarn,epilogue,99,d493b8ad,
en-US,line:0228762,"Three-and-one: The song speaks of a resistance, gathering those books and quietly bidding its time.",Assets/Yarn/cutscenes.yarn,epilogue,100,12da7ea1,
en-US,line:0840e82,"Three-and-one: Finally, of all, the song begs: stop playing to the puppeteer's script.",Assets/Yarn/cutscenes.yarn,epilogue,101,4e1d8c48,
en-US,line:0218401,Three-and-one: Plenty heed the song's call. Plenty do not.,Assets/Yarn/cutscenes.yarn,epilogue,102,8f3550c8,
en-US,line:016050e,Three-and-one: The coming times will cut many a thread short.,Assets/Yarn/cutscenes.yarn,epilogue,103,c8d14621,
en-US,line:0b5f3a8,Three-and-one: But we see paths where life and freedom might bloom.,Assets/Yarn/cutscenes.yarn,epilogue,104,fbda82a8,
en-US,line:063907d,Three-and-one: And we hope.,Assets/Yarn/cutscenes.yarn,epilogue,105,bd8dc024,
en-US,line:044d607,Fire Demon: Urggh,Assets/Yarn/cutscenes.yarn,fireDemonIntro,111,78b81495,
en-US,line:0631011,Fire Demon: Nearly there...,Assets/Yarn/cutscenes.yarn,fireDemonIntro,112,9baa22b5,
en-US,line:0d4185a,Fire Demon: If only these bloody runes would just wash away!,Assets/Yarn/cutscenes.yarn,fireDemonIntro,113,1e1de599,
en-US,line:0d2b537,"Fire Demon: Water runes, wash away, ha ha, jokes aren't going to get me out of here.",Assets/Yarn/cutscenes.yarn,fireDemonIntro,114,85cf5424,
en-US,line:010eaf2,"Fire Demon: Come on, burn, burn, burn!",Assets/Yarn/cutscenes.yarn,fireDemonIntro,115,309274c6,
en-US,line:0603878,Blood Tree: At last...,Assets/Yarn/cutscenes.yarn,unsealBloodTree,121,7f3e0b2b,
en-US,line:0d1fbca,"Blood Tree: So many years, decades, tortured by this infernal melody.",Assets/Yarn/cutscenes.yarn,unsealBloodTree,122,394e470d,
en-US,line:010772a,Blood Tree: Burnt dry to my core.,Assets/Yarn/cutscenes.yarn,unsealBloodTree,123,cb0dcc50,
en-US,line:0e672cd,"Blood Tree: What do you want from me, human?",Assets/Yarn/cutscenes.yarn,unsealBloodTree,124,1ab44936,
en-US,line:04a7221,"Player: Err, nothing special. Mostly, I did not think it was right for you to be locked up in a book?",Assets/Yarn/cutscenes.yarn,unsealBloodTree,125,b81c3bae,
en-US,line:057bcd7,"Blood Tree: Nothing special, they say, and then they accept a fruit from my branches and wish a dying relative spry once more.",Assets/Yarn/cutscenes.yarn,unsealBloodTree,126,c75b6574,
en-US,line:0ffe8fb,Blood Tree: Granting a wish is no bark off my trunk. My fruits will ensure you pay your dues anyway.,Assets/Yarn/cutscenes.yarn,unsealBloodTree,127,2d4cd6e4,
en-US,line:0570072,Player: Right. The book does mention that.,Assets/Yarn/cutscenes.yarn,unsealBloodTree,128,a27ebc26,
en-US,line:0b77214,Player: Your fire demon neighbour mentioned that I would need all of your help to unseal the Three-and-one?,Assets/Yarn/cutscenes.yarn,unsealBloodTree,129,57afa929,
en-US,line:043ad38,Blood Tree: So you aim to send me back to a harrowing flesh existence?,Assets/Yarn/cutscenes.yarn,unsealBloodTree,130,7edd4ce4,
en-US,line:0674424,Player: I...,Assets/Yarn/cutscenes.yarn,unsealBloodTree,131,f5b15a72,
en-US,line:02c407d,Blood Tree: Anything rather than dying.,Assets/Yarn/cutscenes.yarn,unsealBloodTree,132,8c73decd,
en-US,line:08f1350,Blood Tree: To unseal the Three-and-one... That would take some work.,Assets/Yarn/cutscenes.yarn,unsealBloodTree,133,0353ec34,
en-US,line:01fe243,Blood Tree: Something useful among my roots.,Assets/Yarn/cutscenes.yarn,unsealBloodTree,134,2402f7b6,
en-US,line:02e59c7,Blood Tree: And fae flowers.,Assets/Yarn/cutscenes.yarn,unsealBloodTree,135,60c26a01,
en-US,line:02b146e,Player: Fae flowers? There are no flowers on the Laundry fae's page.,Assets/Yarn/cutscenes.yarn,unsealBloodTree,136,eb3e79cb,
en-US,line:06ebe5a,Blood Tree: They probably aren't strong enough to push against their seals.,Assets/Yarn/cutscenes.yarn,unsealBloodTree,137,910d9790,
en-US,line:0e4f5ad,Blood Tree: Their kind is... everything that I abhor.,Assets/Yarn/cutscenes.yarn,unsealBloodTree,138,e6bd8175,
en-US,line:0065c02,"Blood Tree: But where those fae go, flowers follow.",Assets/Yarn/cutscenes.yarn,unsealBloodTree,139,efaf8e4c,
en-US,line:084e2bc,Blood Tree: Unless humans get their greedy hands on them and make a mess.,Assets/Yarn/cutscenes.yarn,unsealBloodTree,140,44263440,
en-US,line:07e8b13,Player: Thank you for your information. I will work on it right away.,Assets/Yarn/cutscenes.yarn,unsealBloodTree,141,0d7e2f0a,
en-US,line:0411c1a,Domestic Troll: And who are you?,Assets/Yarn/cutscenes.yarn,unsealDomesticTroll,147,9967ce73,
en-US,line:01b4290,Domestic Troll: Is this mess your doing? Are you people never going to let me rest?,Assets/Yarn/cutscenes.yarn,unsealDomesticTroll,148,e4f7f78f,
en-US,line:0093da8,Domestic Troll: Where am I? This isn't my home!,Assets/Yarn/cutscenes.yarn,unsealDomesticTroll,149,9f90d554,
en-US,line:05123fe,Domestic Troll: My home! My home! I have to get back to my family!,Assets/Yarn/cutscenes.yarn,unsealDomesticTroll,150,7a38d3b8,
en-US,line:0582d7a,Domestic Troll: You need to help me get back home! My humans can't survive without me!,Assets/Yarn/cutscenes.yarn,unsealDomesticTroll,151,05e368b8,
en-US,line:07431cd,"Domestic Troll: You wouldn't believe it, how clumsy and clueless they are...",Assets/Yarn/cutscenes.yarn,unsealDomesticTroll,152,3727d3f3,
en-US,line:01c5bfb,"Domestic Troll: Always putting holes in their shoes, in their coats, in their milk buckets.",Assets/Yarn/cutscenes.yarn,unsealDomesticTroll,153,563232ca,
en-US,line:0281117,"Domestic Troll: Always getting penny buns and death caps mixed up, even if looked nothing like other.",Assets/Yarn/cutscenes.yarn,unsealDomesticTroll,154,b4567317,
en-US,line:02a2d14,"Domestic Troll: How long have I been gone? I'm sure they won't have remembered to sweep under the dresser, and now the rats will have moved in!",Assets/Yarn/cutscenes.yarn,unsealDomesticTroll,155,9223e197,
en-US,line:07786ac,"Fire Demon: About time, you piece of meat.",Assets/Yarn/cutscenes.yarn,unsealFireDemon,161,71ad167f,
en-US,line:0a89974,Player: Fie! You're actually alive!,Assets/Yarn/cutscenes.yarn,unsealFireDemon,162,162925e4,
en-US,line:047e2b5,"Fire Demon: Humans, really... Why did you unseal me if you didn't think I was alive?",Assets/Yarn/cutscenes.yarn,unsealFireDemon,163,82c2bdc4,
en-US,line:0fcc27e,Fire Demon: Do you just enjoy destroying everything you get your hands on?,Assets/Yarn/cutscenes.yarn,unsealFireDemon,164,fff19a7d,
en-US,line:09d2e64,"Fire Demon: Mind, that'd be pretty typical for a human...",Assets/Yarn/cutscenes.yarn,unsealFireDemon,165,f69d2aec,
en-US,line:0038639,"Fire Demon: Guess it's actually to my advantage this time, so I suppose you get a pass.",Assets/Yarn/cutscenes.yarn,unsealFireDemon,166,e3c55b82,
en-US,line:0410ece,Player: What are you?,Assets/Yarn/cutscenes.yarn,unsealFireDemon,167,0ac3e4ad,
en-US,line:0aacf89,"Fire Demon: What do they teach kids these days... I'm a fire demon, you twat!",Assets/Yarn/cutscenes.yarn,unsealFireDemon,168,32c694de,
en-US,line:042f7a8,Player: But... How are you in this book then? I thought it was only suppose to contain an imprint of the power of creatures long gone.,Assets/Yarn/cutscenes.yarn,unsealFireDemon,169,fb39bbd6,
en-US,line:07e2fff,Fire Demon: Is that the current propaganda? Imprint of power my ass!,Assets/Yarn/cutscenes.yarn,unsealFireDemon,170,70c979e3,
en-US,line:01f4640,"Fire Demon: And claiming that we are ""long gone"" when really, they have chained us all up into those thrice-damned books?",Assets/Yarn/cutscenes.yarn,unsealFireDemon,171,0a54600f,
en-US,line:0a0c4b2,Fire Demon: They have no shame!,Assets/Yarn/cutscenes.yarn,unsealFireDemon,172,73842461,
en-US,line:0460bce,Player: They? Who are you talking about?,Assets/Yarn/cutscenes.yarn,unsealFireDemon,173,0882909a,
en-US,line:03118dc,"Fire Demon: Well, the human mages, of course!",Assets/Yarn/cutscenes.yarn,unsealFireDemon,174,ebf9c5e6,
en-US,line:072cad7,"Fire Demon: Aren't you studying to be one yourself? You have the get up of one... They seduced you with promise of power, did they?",Assets/Yarn/cutscenes.yarn,unsealFireDemon,175,9f036dab,
en-US,line:039800e,"Fire Demon: Well, here's a hard truth about life for you: if you don't have to work for it, then someone's most likely suffering in your stead.",Assets/Yarn/cutscenes.yarn,unsealFireDemon,176,54af555b,
en-US,line:0a603a4,Fire Demon: Me and my comrades on the other pages? We've been locked up and milked for magic for longer than you've been alive.,Assets/Yarn/cutscenes.yarn,unsealFireDemon,177,1da5ee7d,
en-US,line:0dbe3c6,"Fire Demon: And to be honest, it rather stings to own the return of my freedom to someone like you.",Assets/Yarn/cutscenes.yarn,unsealFireDemon,178,b678f9bd,
en-US,line:0008785,"Fire Demon: I hope you intend to finish the job, at least?",Assets/Yarn/cutscenes.yarn,unsealFireDemon,179,1ca2008f,
en-US,line:0cc164d,Player: Finish the job?,Assets/Yarn/cutscenes.yarn,unsealFireDemon,180,e49a7413,
en-US,line:0a84b4e,"Fire Demon: Yes, well, d'you really think I'm staying around of my own free will?",Assets/Yarn/cutscenes.yarn,unsealFireDemon,181,ddf20494,
en-US,line:0d7aeda,"Fire Demon: I might not be so strongly contained anymore, but I'm still stuck here.",Assets/Yarn/cutscenes.yarn,unsealFireDemon,182,b28d7cd0,
en-US,line:0d355ed,Player: The runes are all gone though. At least they have disappeared from the page.,Assets/Yarn/cutscenes.yarn,unsealFireDemon,183,cede4c58,
en-US,line:0c64fcf,Player: Is there anything tying you to the book?,Assets/Yarn/cutscenes.yarn,unsealFireDemon,184,e6b95ad8,
en-US,line:05781dd,Fire Demon: Have you ever been spelled into a book?,Assets/Yarn/cutscenes.yarn,unsealFireDemon,185,2e7d4d11,
en-US,line:0871b5d,"Player: I cannot say I have, no.",Assets/Yarn/cutscenes.yarn,unsealFireDemon,186,3e3e087d,
en-US,line:0c54e9c,"Fire Demon: Well let me spell it out to you, then.",Assets/Yarn/cutscenes.yarn,unsealFireDemon,187,a08ade99,
en-US,line:09c31e6,Fire Demon: I can't exactly float out. Crawl out. Burn my way out. Whatever.,Assets/Yarn/cutscenes.yarn,unsealFireDemon,188,b9b0d6b3,
en-US,line:08a73d6,"Fire Demon: I'm not corporeal anymore. So if I don't want to depend on this hateful pile of paper anymore, I need a new body.",Assets/Yarn/cutscenes.yarn,unsealFireDemon,189,dda80c70,
en-US,line:0b4fc4f,Player: What happened to your original one?,Assets/Yarn/cutscenes.yarn,unsealFireDemon,190,a072a37b,
en-US,line:007c916,Fire Demon: Why? Are you hoping to put the next demon you cross path with through the same?,Assets/Yarn/cutscenes.yarn,unsealFireDemon,191,e5cf451f,
en-US,line:018b4e1,"Player: I have never come across an elemental demon before. Or any kind of demon, to be honest.",Assets/Yarn/cutscenes.yarn,unsealFireDemon,192,f8567667,
en-US,line:00c16a2,Player: I would not know what constitutes a body for your kind.,Assets/Yarn/cutscenes.yarn,unsealFireDemon,193,95e5ded8,
en-US,line:0ca53b9,"Fire Demon: Lucky for me, then, you're not the one with the power to give me a new body!",Assets/Yarn/cutscenes.yarn,unsealFireDemon,194,1d7b35a0,
en-US,line:0cd566b,"Fire Demon: Knowing humans, you'd probably try to give me bones, or skin.",Assets/Yarn/cutscenes.yarn,unsealFireDemon,195,a53c97f3,
en-US,line:05da05e,"Fire Demon: Urgh, so limiting, I'm getting chills just thinking about it!",Assets/Yarn/cutscenes.yarn,unsealFireDemon,196,72a7662a,
en-US,line:0202d97,"Fire Demon: Anyway, back to the problem at end!",Assets/Yarn/cutscenes.yarn,unsealFireDemon,197,b8929ff8,
en-US,line:0912b0a,Fire Demon: You need to lift the seals on the Three-and-one.,Assets/Yarn/cutscenes.yarn,unsealFireDemon,198,c82d541c,
en-US,line:0f9deb1,Player: The Three-and-one?,Assets/Yarn/cutscenes.yarn,unsealFireDemon,199,e8d58013,
en-US,line:0d68dd0,"Fire Demon: Yes, the Three-and-one, do keep up!",Assets/Yarn/cutscenes.yarn,unsealFireDemon,200,dbc02636,
en-US,line:0d73699,"Fire Demon: Two pages after me, deity of all creation, existence and destruction?",Assets/Yarn/cutscenes.yarn,unsealFireDemon,201,d62c397b,
en-US,line:08ec667,Fire Demon: They can make me a new body.,Assets/Yarn/cutscenes.yarn,unsealFireDemon,202,cadd5038,
en-US,line:0b511ca,Player: Because they are the deity of creation?,Assets/Yarn/cutscenes.yarn,unsealFireDemon,203,baef2516,
en-US,line:0b61f9e,"Fire Demon: And existence, and destruction. Can't have one without the others. But yes.",Assets/Yarn/cutscenes.yarn,unsealFireDemon,204,713bf595,
en-US,line:0691952,"Player: But... if I free you, or that Three-and-one figure, what stops you from frying me up the moment I get out of the book?",Assets/Yarn/cutscenes.yarn,unsealFireDemon,205,a8113d2e,
en-US,line:03bf7ea,"Fire Demon: Nothing. You'd deserve it, you know? Well, maybe not you personally, but mages.",Assets/Yarn/cutscenes.yarn,unsealFireDemon,206,41a9079b,
en-US,line:0530135,"Fire Demon: But I'm a rather self-serving individual, and drawing your superiors' attention would be a counter-productive move on my side.",Assets/Yarn/cutscenes.yarn,unsealFireDemon,207,ab1f3551,
en-US,line:0a7cff3,"Fire Demon: Plus, you know, I'd probably feel guilty about it afterwards.",Assets/Yarn/cutscenes.yarn,unsealFireDemon,208,7f67086b,
en-US,line:014efcd,Fire Demon: I'm not a big fan of killing. Not sentient beings at least.,Assets/Yarn/cutscenes.yarn,unsealFireDemon,209,73f8ec41,
en-US,line:0fe90b7,Fire Demon: Unlike certain humans I know...,Assets/Yarn/cutscenes.yarn,unsealFireDemon,210,8a95bef3,
en-US,line:07c83bd,"Player: Um. Say I want to, finish the job, as you phrased it.",Assets/Yarn/cutscenes.yarn,unsealFireDemon,211,b781b4b2,
en-US,line:0a82abb,"Player: How do I unseal the Three-and-one, though? Their seal looks a lot more complicated than yours did!",Assets/Yarn/cutscenes.yarn,unsealFireDemon,212,62dd58af,
en-US,line:020fc7b,"Fire Demon: You're the one studying human magic, you figure it out!",Assets/Yarn/cutscenes.yarn,unsealFireDemon,213,dfa37e89,
en-US,line:049eec1,"Fire Demon: If I were you, I'd unseal the others first, though.",Assets/Yarn/cutscenes.yarn,unsealFireDemon,214,18533d05,
en-US,line:00da859,"Fire Demon: Domestic trolls worship the Three-and-one, for some reason I've never understood.",Assets/Yarn/cutscenes.yarn,unsealFireDemon,215,b5cb8f49,
en-US,line:08be1a3,Fire Demon: So they might have useful information about them and their seals.,Assets/Yarn/cutscenes.yarn,unsealFireDemon,216,481c5a41,
en-US,line:071801a,Fire Demon: As for the Laundry fae and the Blood tree...,Assets/Yarn/cutscenes.yarn,unsealFireDemon,217,d4d0370a,
en-US,line:09cc041,"Fire Demon: Well, I remember the head twat grumbling about tying the Three-and-one's seal to the rest of us.",Assets/Yarn/cutscenes.yarn,unsealFireDemon,218,a1a8e0fa,
en-US,line:07c967d,Fire Demon: So that's my advice.,Assets/Yarn/cutscenes.yarn,unsealFireDemon,219,51884fc9,
en-US,line:04b99d9,Player: Are you just trying to get me to release everyone?,Assets/Yarn/cutscenes.yarn,unsealFireDemon,220,d30ef969,
en-US,line:04b9c55,"Fire Demon: Why play favourite? If you're going to help me, you might as well help all of us...",Assets/Yarn/cutscenes.yarn,unsealFireDemon,221,0336d139,
en-US,line:0a4dce8,Fire Demon: But the answer to your question is no. I'm pretty sure you need to unseal them before you can unseal the Three-and-one.,Assets/Yarn/cutscenes.yarn,unsealFireDemon,222,4333a247,
en-US,line:0205bb2,"Fire Demon: Like I said, self-serving individual. If you'd free only me, I'd still take it.",Assets/Yarn/cutscenes.yarn,unsealFireDemon,223,7746820d,
en-US,line:08dfb58,"Fire Demon: It'd make you a bloody windfucker, but I'd take it.",Assets/Yarn/cutscenes.yarn,unsealFireDemon,224,51eda47f,
